region,bg_code,berufsgruppe,median_entgelt
Brandenburg,541,Reinigung,2.430
Brandenburg,611,Einkauf und Vertrieb,4.337
Brandenburg,612,Handel,3.596
Brandenburg,621,Verkauf (ohne Produktspezialisierung),2.901
Brandenburg,623,Verkauf von Lebensmitteln,2.419
Brandenburg,632,Hotellerie,2.524
Brandenburg,633,Gastronomie,2.402
Brandenburg,634,"Veranstaltungsservice, -management",None
Brandenburg,711,Geschäftsführung und Vorstand,6.486
Brandenburg,713,Unternehmensorganisation und -strategie,4.562
Brandenburg,714,Büro und Sekretariat,3.355
Brandenburg,715,Personalwesen und -dienstleistung,4.785
Brandenburg,721,Versicherungs- u. Finanzdienstleistungen,4.745
Brandenburg,722,"Rechnungswesen, Controlling und Revision",4.108
Brandenburg,723,Steuerberatung,3.329
Brandenburg,732,Verwaltung,4.323
Brandenburg,733,Medien-Dokumentations-Informationsdienst,3.939
Brandenburg,811,Arzt- und Praxishilfe,2.727
Brandenburg,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.066
Brandenburg,817,Nicht ärztliche Therapie und Heilkunde,3.201
Brandenburg,821,Altenpflege,3.616
Brandenburg,822,"Ernährungs-,Gesundheitsberatung,Wellness",None
Brandenburg,825,"Medizin-, Orthopädie- und Rehatechnik",2.934
Brandenburg,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",4.047
Brandenburg,832,Hauswirtschaft und Verbraucherberatung,2.370
Brandenburg,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",4.423
Brandenburg,844,Lehrtätigk. außerschul.Bildungseinricht.,4.457
Brandenburg,912,Geisteswissenschaften,None
Brandenburg,913,Gesellschaftswissenschaften,3.801
Brandenburg,921,Werbung und Marketing,3.427
Brandenburg,924,Redaktion und Journalismus,4.388
Brandenburg,932,"Innenarchitektur, Raumausstattung",None
Bremen,121,Gartenbau,3.132
Bremen,221,"Kunststoff,Kautschukherstell.,verarbeit",None
Bremen,231,Papier- und Verpackungstechnik,None
Bremen,232,Technische Mediengestaltung,3.452
Bremen,261,Mechatronik und Automatisierungstechnik,4.684
Bremen,262,Energietechnik,4.388
Bremen,263,Elektrotechnik,5.133
Bremen,271,Technische Forschung und Entwicklung,6.436
Bremen,273,"Technische Produktionsplanung,-steuerung",6.081
Bremen,282,Textilverarbeitung,4.581
Bremen,292,Lebensmittel- u. Genussmittelherstellung,3.447
Bremen,311,"Bauplanung u. -überwachung, Architektur",5.578
Bremen,411,Mathematik und Statistik,None
Bremen,431,Informatik,4.971
Bremen,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",5.692
Bremen,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",5.498
Bremen,434,Softwareentwicklung und Programmierung,5.561
Bremen,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.933
Bremen,516,Kaufleute - Verkehr und Logistik,4.086
Bremen,521,Fahrzeugführung im Straßenverkehr,2.940
Bremen,525,Bau- und Transportgeräteführung,4.816
Bremen,541,Reinigung,2.697
Bremen,611,Einkauf und Vertrieb,5.244
Bremen,612,Handel,4.116
Bremen,621,Verkauf (ohne Produktspezialisierung),3.104
Bremen,623,Verkauf von Lebensmitteln,2.714
Bremen,632,Hotellerie,2.854
Bremen,633,Gastronomie,2.566
Bremen,634,"Veranstaltungsservice, -management",None
Bremen,711,Geschäftsführung und Vorstand,7.550
Bremen,713,Unternehmensorganisation und -strategie,5.343
Bremen,714,Büro und Sekretariat,3.756
Bremen,715,Personalwesen und -dienstleistung,4.994
Bremen,721,Versicherungs- u. Finanzdienstleistungen,5.385
Bremen,722,"Rechnungswesen, Controlling und Revision",4.954
Bremen,723,Steuerberatung,3.995
Bremen,732,Verwaltung,4.335
Bremen,733,Medien-Dokumentations-Informationsdienst,None
Bremen,811,Arzt- und Praxishilfe,3.078
Bremen,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.345
Bremen,817,Nicht ärztliche Therapie und Heilkunde,3.605
Bremen,821,Altenpflege,3.970
Bremen,822,"Ernährungs-,Gesundheitsberatung,Wellness",None
Bremen,825,"Medizin-, Orthopädie- und Rehatechnik",3.293
Bremen,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",4.176
Bremen,832,Hauswirtschaft und Verbraucherberatung,None
Bremen,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",4.551
Bremen,844,Lehrtätigk. außerschul.Bildungseinricht.,None
Bremen,912,Geisteswissenschaften,None
Bremen,913,Gesellschaftswissenschaften,None
Bremen,921,Werbung und Marketing,4.338
Bremen,924,Redaktion und Journalismus,5.051
Bremen,932,"Innenarchitektur, Raumausstattung",None
Hamburg,121,Gartenbau,3.186
Hamburg,221,"Kunststoff,Kautschukherstell.,verarbeit",3.720
Hamburg,231,Papier- und Verpackungstechnik,None
Hamburg,232,Technische Mediengestaltung,3.983
Hamburg,261,Mechatronik und Automatisierungstechnik,4.907
Hamburg,262,Energietechnik,4.850
Hamburg,263,Elektrotechnik,5.104
Hamburg,271,Technische Forschung und Entwicklung,6.316
Hamburg,273,"Technische Produktionsplanung,-steuerung",6.137
Hamburg,282,Textilverarbeitung,3.336
Hamburg,292,Lebensmittel- u. Genussmittelherstellung,3.277
Hamburg,311,"Bauplanung u. -überwachung, Architektur",5.395
Hamburg,411,Mathematik und Statistik,None
Hamburg,431,Informatik,5.952
Hamburg,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",6.047
Hamburg,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",5.951
Hamburg,434,Softwareentwicklung und Programmierung,6.071
Hamburg,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",3.002
Hamburg,516,Kaufleute - Verkehr und Logistik,4.557
Hamburg,521,Fahrzeugführung im Straßenverkehr,3.062
Hamburg,525,Bau- und Transportgeräteführung,3.950
Hamburg,541,Reinigung,2.590
Hamburg,611,Einkauf und Vertrieb,5.651
Hamburg,612,Handel,5.058
Hamburg,621,Verkauf (ohne Produktspezialisierung),3.351
Hamburg,623,Verkauf von Lebensmitteln,2.636
Hamburg,632,Hotellerie,2.705
Hamburg,633,Gastronomie,2.597
Hamburg,634,"Veranstaltungsservice, -management",3.628
Hamburg,711,Geschäftsführung und Vorstand,7.550
Hamburg,713,Unternehmensorganisation und -strategie,6.103
Hamburg,714,Büro und Sekretariat,4.341
Hamburg,715,Personalwesen und -dienstleistung,5.077
Hamburg,721,Versicherungs- u. Finanzdienstleistungen,6.070
Hamburg,722,"Rechnungswesen, Controlling und Revision",5.406
Hamburg,723,Steuerberatung,4.735
Hamburg,732,Verwaltung,4.395
Hamburg,733,Medien-Dokumentations-Informationsdienst,4.561
Hamburg,811,Arzt- und Praxishilfe,3.107
Hamburg,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.263
Hamburg,817,Nicht ärztliche Therapie und Heilkunde,3.520
Hamburg,821,Altenpflege,3.828
Hamburg,822,"Ernährungs-,Gesundheitsberatung,Wellness",4.410
Hamburg,825,"Medizin-, Orthopädie- und Rehatechnik",3.684
Hamburg,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",4.081
Hamburg,832,Hauswirtschaft und Verbraucherberatung,2.975
Hamburg,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",5.118
Hamburg,844,Lehrtätigk. außerschul.Bildungseinricht.,4.435
Hamburg,912,Geisteswissenschaften,None
Hamburg,913,Gesellschaftswissenschaften,4.451
Hamburg,921,Werbung und Marketing,5.018
Hamburg,924,Redaktion und Journalismus,4.900
Hamburg,932,"Innenarchitektur, Raumausstattung",3.663
Hessen,121,Gartenbau,3.261
Hessen,221,"Kunststoff,Kautschukherstell.,verarbeit",3.540
Hessen,231,Papier- und Verpackungstechnik,3.787
Hessen,232,Technische Mediengestaltung,3.782
Hessen,261,Mechatronik und Automatisierungstechnik,4.429
Hessen,262,Energietechnik,4.330
Hessen,263,Elektrotechnik,4.777
Hessen,271,Technische Forschung und Entwicklung,7.018
Hessen,273,"Technische Produktionsplanung,-steuerung",5.555
Hessen,282,Textilverarbeitung,2.964
Hessen,292,Lebensmittel- u. Genussmittelherstellung,3.176
Hessen,311,"Bauplanung u. -überwachung, Architektur",5.469
Hessen,411,Mathematik und Statistik,6.607
Hessen,431,Informatik,6.084
Hessen,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",6.365
Hessen,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",6.471
Hessen,434,Softwareentwicklung und Programmierung,6.141
Hessen,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.998
Hessen,516,Kaufleute - Verkehr und Logistik,3.862
Hessen,521,Fahrzeugführung im Straßenverkehr,3.059
Hessen,525,Bau- und Transportgeräteführung,3.570
Hessen,541,Reinigung,2.544
Hessen,611,Einkauf und Vertrieb,5.894
Hessen,612,Handel,4.050
Hessen,621,Verkauf (ohne Produktspezialisierung),3.328
Hessen,623,Verkauf von Lebensmitteln,2.436
Hessen,632,Hotellerie,3.003
Hessen,633,Gastronomie,2.600
Hessen,634,"Veranstaltungsservice, -management",3.746
Hessen,711,Geschäftsführung und Vorstand,7.550
Hessen,713,Unternehmensorganisation und -strategie,6.105
Hessen,714,Büro und Sekretariat,4.152
Hessen,715,Personalwesen und -dienstleistung,5.321
Hessen,721,Versicherungs- u. Finanzdienstleistungen,6.692
Hessen,722,"Rechnungswesen, Controlling und Revision",5.573
Hessen,723,Steuerberatung,4.351
Hessen,732,Verwaltung,4.508
Hessen,733,Medien-Dokumentations-Informationsdienst,4.645
Hessen,811,Arzt- und Praxishilfe,2.988
Hessen,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.338
Hessen,817,Nicht ärztliche Therapie und Heilkunde,3.353
Hessen,821,Altenpflege,3.633
Hessen,822,"Ernährungs-,Gesundheitsberatung,Wellness",4.771
Hessen,825,"Medizin-, Orthopädie- und Rehatechnik",3.374
Hessen,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",4.343
Hessen,832,Hauswirtschaft und Verbraucherberatung,2.880
Hessen,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",5.112
Hessen,844,Lehrtätigk. außerschul.Bildungseinricht.,4.707
Hessen,912,Geisteswissenschaften,None
Hessen,913,Gesellschaftswissenschaften,4.444
Hessen,921,Werbung und Marketing,5.676
Hessen,924,Redaktion und Journalismus,5.153
Hessen,932,"Innenarchitektur, Raumausstattung",3.459
Mecklenburg-Vorpommern,121,Gartenbau,2.695
Mecklenburg-Vorpommern,221,"Kunststoff,Kautschukherstell.,verarbeit",2.825
Mecklenburg-Vorpommern,231,Papier- und Verpackungstechnik,None
Mecklenburg-Vorpommern,232,Technische Mediengestaltung,2.718
Mecklenburg-Vorpommern,261,Mechatronik und Automatisierungstechnik,3.351
Mecklenburg-Vorpommern,262,Energietechnik,3.692
Mecklenburg-Vorpommern,263,Elektrotechnik,3.515
Mecklenburg-Vorpommern,271,Technische Forschung und Entwicklung,5.202
Mecklenburg-Vorpommern,273,"Technische Produktionsplanung,-steuerung",4.393
Mecklenburg-Vorpommern,282,Textilverarbeitung,None
Mecklenburg-Vorpommern,292,Lebensmittel- u. Genussmittelherstellung,2.925
Mecklenburg-Vorpommern,311,"Bauplanung u. -überwachung, Architektur",4.832
