id,titel,beruf,arbeitgeber,eintrittsdatum,aktuelleVeroeffentlichungsdatum,ort,region,plz,land
12608-1378277-28721-1-S,Teamleiter Logistik (m/w/d),Leiter/in - Logistik,toom Baumarkt GmbH,2026-04-01,2026-02-23,"Münster, Westfalen",Nordrhein-Westfalen,48153,Deutschland
13319-865098/1_602157LS-S,Supervisor Logistik  (m/w/d),Assistent/in - Logistik,Hays Professional Solutions GmbH Standort Stuttgart,2026-04-01,2026-03-13,Unbekannt,Bayern,Unbekannt,Deutschland
12500-F2J6ZTK9ESBUSQIZ-S,Teamleiter Logistik (m/w/d),Leiter/in - Logistik,pd Personaldienst GmbH & Co. KG Zwgst. BD,2026-03-16,2026-03-13,Bünde,Nordrhein-Westfalen,32257,Deutschland
12117-28851793-YF-S,Fachkraft Lager / Logistik (m/w/d),Fachkraft - Logistik/Materialwirtschaft,Rovita GmbH,2026-04-01,2026-04-01,"Engelsberg, Oberbayern",Bayern,84549,Deutschland
12117-28811730-YF-S,Mitarbeiter Logistik & Produktion (m/w/d),Fachkraft - Logistik/Materialwirtschaft,WILLBRANDT KG,2026-04-01,2026-04-01,Hamburg,Hamburg,22525,Deutschland
12117-28811733-YF-S,Mitarbeiter Logistik (m/w/d) - Schwerpunkt Materialwirtschaft,Fachkraft - Logistik/Materialwirtschaft,Friedrich W. Schneider GmbH & Co. KG,2026-04-01,2026-04-01,Dormagen,Nordrhein-Westfalen,41539,Deutschland
12117-28844602-YF-S,Teamleiter (m/w/d) Lager Logistik,Fachkraft - Logistik/Materialwirtschaft,CHEFS CULINAR Nord-Ost GmbH & Co. KG,2026-04-01,2026-04-01,Ludwigsfelde,Brandenburg,14974,Deutschland
12117-28811742-YF-S,Mitarbeiter Lager / Logistik (m/w/d),Fachkraft - Logistik/Materialwirtschaft,Fleurop AG,2026-04-01,2026-04-01,Berlin,Berlin,12526,Deutschland
12117-28761961-YF-S,Teamleiter (m/w/d) Lager Logistik,Fachkraft - Logistik/Materialwirtschaft,CHEFS CULINAR Süd GmbH & Co. KG,2026-04-01,2026-04-01,Pilsach,Bayern,92367,Deutschland
12117-28804326-YF-S,Sachbearbeiter (m/w/d) im Bereich Logistik,Sachbearbeiter/in - Logistik,EHL AG,2026-04-01,2026-04-01,"Wittenburg, Mecklenburg",Mecklenburg-Vorpommern,19243,Deutschland
12633-965f831d_JB5090345-S,Sachbearbeiter (m/w/d) Logistik,Sachbearbeiter/in - Logistik,DIS AG Office & Management,2026-03-10,2026-03-10,Frankfurt am Main,Hessen,60488,Deutschland
14507-XP7IQPC8O7TR9VNL-S,Sachbearbeiter (m/w/d) Logistik ,Sachbearbeiter/in - Logistik,Dornseifer Personalmanagement GmbH NL Leipzig,2026-03-27,2026-03-27,München,Bayern,80331,Deutschland
12382-2026-90240002-S,Teamleiter Logistik (m/w/d),Leiter/in - Logistik,DAHMEN Personalservice GmbH im Hause Henkel,2026-03-19,2026-03-19,Schriesheim,Baden-Württemberg,69198,Deutschland
12265-312071_JB5090891-S,Sachbearbeiter Logistik (m/w/d),Sachbearbeiter/in - Logistik,FERCHAU GmbH Niederlassung Giessen,2026-04-01,2026-03-10,Fulda,Hessen,36037,Deutschland
19220-beabead4c08fc14e-S,Schülerpraktikant in der Logistik (m/w/d),Assistent/in - Logistik,Kaufland Dienstleistung GmbH & Co. KG,2026-03-31,2026-02-06,Möckmühl,Baden-Württemberg,74219,Deutschland
17840-43941789-22-S,Abteilungsleitung Logistik (w/m/d),Leiter/in - Logistik,Endress + Hauser Wetzer GmbH & Co.KG,2026-03-05,2026-02-06,Nesselwang,Bayern,87484,Deutschland
10001-1002733882-S,Abteilungsleiter Logistik (m/w/d) Soltau,Leiter/in - Lagerwirtschaft,logistik-job Lars Woltmann e.K,2026-03-10,2026-03-10,Soltau,Niedersachsen,Unbekannt,Deutschland
11119-4747165655-S,Teamleiter Logistik (m/w/d),Leiter/in - Logistik,Randstad Deutschland,2026-04-01,2026-03-11,Meppen,Niedersachsen,49716,Deutschland
13319-865435/1_601583LS-S,Mitarbeiter in der Logistik (m/w/d),Assistent/in - Logistik,Hays Professional Solutions GmbH,2026-03-24,2026-03-11,Hamburg,Hamburg,Unbekannt,Deutschland
12122-204924-1759379-0-S,Sachbearbeiter Logistik (m/w/d),Sachbearbeiter/in - Logistik,persona service AG & Co. KG Niederlassung Schweinfurt,2026-03-12,2026-03-11,"Gochsheim, Unterfranken",Bayern,97469,Deutschland
10001-1002808405-S,Leiter/in - Logistik (m/w/d),Leiter/in - Logistik,Contact-100 GmbH & Co. KG Stammsitz Brilon,2026-03-25,2026-03-23,Diemelstadt,Hessen,34474,Deutschland
11852-936535285-S,Mitarbeiter (m/w/d) – Zollabwicklung & Logistik,Sachbearbeiter/in - Logistik,TimePartner Personalmanagement GmbH,2026-03-30,2026-03-30,Neuss,Nordrhein-Westfalen,41462,Deutschland
15937-k55805.113607-S,Logistik (m/w/d)  3-Schichtsystem,Logistiker/in,Neo Temp GmbH,2026-04-03,2026-04-02,Magdeburg,Sachsen-Anhalt,39104,Deutschland
19220-b3176f88bd95c96b-S,Nachwuchsführungskraft Logistik (m/w/d),Leiter/in - Logistik,Kaufland Dienstleistung GmbH & Co. KG,2026-04-01,2026-02-06,Geisenfeld,Bayern,85290,Deutschland
11119-4746124814-S,Schichtleiter (m/w/d) Logistik,Leiter/in - Logistik,Solua GmbH,2026-03-31,2026-03-10,Diemelstadt,Hessen,34474,Deutschland
14751-62A113870-S,Wareneingangsbucher - Logistik (m/w/d),Sachbearbeiter/in - Logistik,iperdi AHR GmbH - Niederlassung Harburg,2026-03-20,2026-03-20,Hamburg,Hamburg,21129,Deutschland
12384-937008160-S,Logistik Teamkoordinator (m/w/d),"Gruppen-, Teamleiter/in",Actief Personalmanagement GmbH,2026-04-01,2026-04-01,"Hammersbach, Hessen",Hessen,63546,Deutschland
